,seed_id
APS_c,NA
DNA_c,cpd11461
GPE_c,NA
LOS_c,cpd20849
RNASYNTH_c,NA
cdp00251_c,NA
cpd00001_c,cpd00001
cpd00001_e,cpd00001
cpd00002_c,cpd00002
cpd00002_e,cpd00002
cpd00003_c,cpd00003
cpd00004_c,cpd00004
cpd00005_c,cpd00005
cpd00006_c,cpd00006
cpd00007_c,cpd00007
cpd00007_e,cpd00007
cpd00008_c,cpd00008
cpd00009_c,cpd00009
cpd00009_e,cpd00009
cpd00010_c,cpd00010
cpd00010_e,cpd00010
cpd00011_c,cpd00011
cpd00011_e,cpd00011
cpd00012_c,cpd00012
cpd00012_e,cpd00012
cpd00013_c,cpd00013
cpd00013_e,cpd00013
cpd00014_c,cpd00014
cpd00015_c,cpd00015
cpd00016_c,cpd00016
cpd00017_c,cpd00017
cpd00018_c,cpd00018
cpd00019_c,cpd00019
cpd00020_c,cpd00020
cpd00020_e,cpd00020
cpd00022_c,cpd00022
cpd00023_c,cpd00023
cpd00023_e,cpd00023
cpd00024_c,cpd00024
cpd00025_c,cpd00025
cpd00026_c,cpd00026
cpd00027_c,cpd00027
cpd00027_e,cpd00027
cpd00028_c,cpd00028
cpd00029_c,cpd00029
cpd00030_c,cpd00030
cpd00030_e,cpd00030
cpd00031_c,cpd00031
cpd00032_c,cpd00032
cpd00033_c,cpd00033
cpd00033_e,cpd00033
cpd00034_c,cpd00034
cpd00034_e,cpd00034
cpd00035_c,cpd00035
cpd00035_e,cpd00035
cpd00036_c,cpd00036
cpd00037_c,cpd00037
cpd00038_c,cpd00038
cpd00039_c,cpd00039
cpd00039_e,cpd00039
cpd00040_c,cpd00040
cpd00041_c,cpd00041
cpd00041_e,cpd00041
cpd00042_c,cpd00042
cpd00043_c,cpd00043
cpd00044_c,cpd00044
cpd00045_c,cpd00045
cpd00046_c,cpd00046
cpd00047_c,cpd00047
cpd00048_c,cpd00048
cpd00048_e,cpd00048
cpd00049_c,cpd00049
cpd00050_c,cpd00050
cpd00051_c,cpd00051
cpd00051_e,cpd00051
cpd00052_c,cpd00052
cpd00053_c,cpd00053
cpd00053_e,cpd00053
cpd00054_c,cpd00054
cpd00054_e,cpd00054
cpd00056_c,cpd00056
cpd00058_c,cpd00058
cpd00058_e,cpd00058
cpd00060_c,cpd00060
cpd00060_e,cpd00060
cpd00061_c,cpd00061
cpd00062_c,cpd00062
cpd00063_c,cpd00063
cpd00063_e,cpd00063
cpd00064_c,cpd00064
cpd00064_e,cpd00064
cpd00065_c,cpd00065
cpd00065_e,cpd00065
cpd00066_c,cpd00066
cpd00066_e,cpd00066
cpd00067_c,cpd00067
cpd00067_e,cpd00067
cpd00068_c,cpd00068
cpd00069_c,cpd00069
cpd00069_e,cpd00069
cpd00070_c,cpd00070
cpd00071_c,cpd00071
cpd00072_c,cpd00072
cpd00072_e,cpd00072
cpd00073_c,cpd00073
cpd00073_e,cpd00073
cpd00074_c,cpd00074
cpd00075_c,cpd00075
cpd00078_c,cpd00078
cpd00079_c,cpd00079
cpd00079_e,cpd00079
cpd00080_c,cpd00080
cpd00080_e,cpd00080
cpd00081_c,cpd00081
cpd00082_c,cpd00082
cpd00084_c,cpd00084
cpd00084_e,cpd00084
cpd00085_c,cpd00085
cpd00086_c,cpd00086
cpd00087_c,cpd00087
cpd00089_c,cpd00089
cpd00090_c,cpd00090
cpd00091_c,cpd00091
cpd00092_c,cpd00092
cpd00092_e,cpd00092
cpd00093_c,cpd00093
cpd00094_c,cpd00094
cpd00095_c,cpd00095
cpd00096_c,cpd00096
cpd00098_c,cpd00098
cpd00098_e,cpd00098
cpd00099_c,cpd00099
cpd00099_e,cpd00099
cpd00100_c,cpd00100
cpd00100_e,cpd00100
cpd00101_c,cpd00101
cpd00102_c,cpd00102
cpd00103_c,cpd00103
cpd00104_c,cpd00104
cpd00106_c,cpd00106
cpd00106_e,cpd00106
cpd00107_c,cpd00107
cpd00107_e,cpd00107
cpd00108_c,cpd00108
cpd00108_e,cpd00108
cpd00109_c,cpd00109
cpd00110_c,cpd00110
cpd00111_c,cpd00111
cpd00113_c,cpd00113
cpd00114_c,cpd00114
cpd00115_c,cpd00115
cpd00117_c,cpd00117
cpd00117_e,cpd00117
cpd00118_c,cpd00118
cpd00119_c,cpd00119
cpd00119_e,cpd00119
cpd00120_c,cpd00120
cpd00121_c,cpd00121
cpd00122_c,cpd00122
cpd00123_c,cpd00123
cpd00125_c,cpd00125
cpd00126_c,cpd00126
cpd00128_c,cpd00128
cpd00129_c,cpd00129
cpd00129_e,cpd00129
cpd00130_c,cpd00130
cpd00130_e,cpd00130
cpd00132_c,cpd00132
cpd00132_e,cpd00132
cpd00133_c,cpd00133
cpd00134_c,cpd00134
cpd00135_c,cpd00135
cpd00136_c,cpd00136
cpd00137_c,cpd00137
cpd00138_c,cpd00138
cpd00138_e,cpd00138
cpd00139_c,cpd00139
cpd00141_c,cpd00141
cpd00142_c,cpd00142
cpd00142_e,cpd00142
cpd00143_c,cpd00143
cpd00144_c,cpd00144
cpd00145_c,cpd00145
cpd00146_c,cpd00146
cpd00147_c,cpd00147
cpd00147_e,cpd00147
cpd00149_c,cpd00149
cpd00149_e,cpd00149
cpd00150_c,cpd00150
cpd00152_c,cpd00152
cpd00155_c,cpd00155
cpd00156_c,cpd00156
cpd00156_e,cpd00156
cpd00157_c,cpd00157
cpd00159_c,cpd00159
cpd00159_e,cpd00159
cpd00161_c,cpd00161
cpd00161_e,cpd00161
cpd00162_c,cpd00162
cpd00166_c,cpd00166
cpd00168_c,cpd00168
cpd00169_c,cpd00169
cpd00171_c,cpd00171
cpd00175_c,cpd00175
cpd00176_c,cpd00176
cpd00176_e,cpd00176
cpd00177_c,cpd00177
cpd00178_c,cpd00178
cpd00179_c,cpd00179
cpd00179_e,cpd00179
cpd00180_c,cpd00180
cpd00182_c,cpd00182
cpd00182_e,cpd00182
cpd00184_c,cpd00184
cpd00184_e,cpd00184
cpd00186_c,cpd00186
cpd00186_e,cpd00186
cpd00190_c,cpd00190
cpd00191_c,cpd00191
cpd00193_c,cpd00193
cpd00198_c,cpd00198
cpd00199_c,cpd00199
cpd00200_c,cpd00200
cpd00201_c,cpd00201
cpd00202_c,cpd00202
cpd00203_c,cpd00203
cpd00205_c,cpd00205
cpd00205_e,cpd00205
cpd00206_c,cpd00206
cpd00207_c,cpd00207
cpd00209_c,cpd00209
cpd00209_e,cpd00209
cpd00210_c,cpd00210
cpd00211_c,cpd00211
cpd00211_e,cpd00211
cpd00213_c,cpd00213
cpd00214_c,cpd00214
cpd00214_e,cpd00214
cpd00216_c,cpd00216
cpd00218_c,cpd00218
cpd00219_c,cpd00219
cpd00220_c,cpd00220
cpd00221_c,cpd00221
cpd00221_e,cpd00221
cpd00222_c,cpd00222
cpd00222_e,cpd00222
cpd00223_c,cpd00223
cpd00226_c,cpd00226
cpd00226_e,cpd00226
cpd00227_c,cpd00227
cpd00229_c,cpd00229
cpd00231_c,cpd00231
cpd00232_c,cpd00232
cpd00232_e,cpd00232
cpd00233_c,cpd00233
cpd00235_c,cpd00235
cpd00236_c,cpd00236
cpd00238_c,cpd00238
cpd00239_c,cpd00239
cpd00241_c,cpd00241
cpd00242_c,cpd00242
cpd00246_c,cpd00246
cpd00246_e,cpd00246
cpd00247_c,cpd00247
cpd00249_c,cpd00249
cpd00249_e,cpd00249
cpd00251_c,cpd00251
cpd00254_c,cpd00254
cpd00254_e,cpd00254
cpd00260_c,cpd00260
cpd00264_c,cpd00264
cpd00264_e,cpd00264
cpd00268_c,cpd00268
cpd00274_c,cpd00274
cpd00277_c,cpd00277
cpd00277_e,cpd00277
cpd00279_c,cpd00279
cpd00281_c,cpd00281
cpd00282_c,cpd00282
cpd00283_c,cpd00283
cpd00284_c,cpd00284
cpd00286_c,cpd00286
cpd00287_c,cpd00287
cpd00288_c,cpd00288
cpd00289_c,cpd00289
cpd00290_c,cpd00290
cpd00292_c,cpd00292
cpd00293_c,cpd00293
cpd00294_c,cpd00294
cpd00295_c,cpd00295
cpd00296_c,cpd00296
cpd00297_c,cpd00297
cpd00298_c,cpd00298
cpd00299_c,cpd00299
cpd00309_c,cpd00309
cpd00311_c,cpd00311
cpd00314_c,cpd00314
cpd00314_e,cpd00314
cpd00322_c,cpd00322
cpd00322_e,cpd00322
cpd00327_c,cpd00327
cpd00330_c,cpd00330
cpd00331_c,cpd00331
cpd00338_c,cpd00338
cpd00341_c,cpd00341
cpd00342_c,cpd00342
cpd00343_c,cpd00343
cpd00344_c,cpd00344
cpd00345_c,cpd00345
cpd00346_c,cpd00346
cpd00347_c,cpd00347
cpd00348_c,cpd00348
cpd00349_c,cpd00349
cpd00350_c,cpd00350
cpd00352_c,cpd00352
cpd00355_c,cpd00355
cpd00356_c,cpd00356
cpd00357_c,cpd00357
cpd00358_c,cpd00358
cpd00359_c,cpd00359
cpd00363_c,cpd00363
cpd00364_c,cpd00364
cpd00367_c,cpd00367
cpd00367_e,cpd00367
cpd00378_c,cpd00378
cpd00383_c,cpd00383
cpd00393_c,cpd00393
cpd00395_c,cpd00395
cpd00408_c,cpd00408
cpd00412_c,cpd00412
cpd00412_e,cpd00412
cpd00415_c,cpd00415
cpd00418_c,cpd00418
cpd00421_c,cpd00421
cpd00423_c,cpd00423
cpd00423_e,cpd00423
cpd00424_c,cpd00424
cpd00426_c,cpd00426
cpd00428_c,cpd00428
cpd00434_c,cpd00434
cpd00438_c,cpd00438
cpd00438_e,cpd00438
cpd00443_c,cpd00443
cpd00446_c,cpd00446
cpd00447_c,cpd00447
cpd00448_c,cpd00448
cpd00449_c,cpd00449
cpd00461_c,cpd00461
cpd00475_c,cpd00475
cpd00477_c,cpd00477
cpd00478_c,cpd00478
cpd00481_c,cpd00481
cpd00482_c,cpd00482
cpd00485_c,cpd00485
cpd00492_c,cpd00492
cpd00493_c,cpd00493
cpd00497_c,cpd00497
cpd00498_c,cpd00498
cpd00504_c,cpd00504
cpd00506_c,cpd00506
cpd00507_c,cpd00507
cpd00508_c,cpd00508
cpd00509_c,cpd00509
cpd00510_c,cpd00510
cpd00516_c,cpd00516
cpd00517_c,cpd00517
cpd00525_c,cpd00525
cpd00530_c,cpd00530
cpd00531_c,cpd00531
cpd00531_e,cpd00531
cpd00532_c,cpd00532
cpd00533_c,cpd00533
cpd00540_c,cpd00540
cpd00557_c,cpd00557
cpd00558_c,cpd00558
cpd00581_c,cpd00581
cpd00626_c,cpd00626
cpd00635_c,cpd00635
cpd00635_e,cpd00635
cpd00638_c,cpd00638
cpd00641_c,cpd00641
cpd00644_c,cpd00644
cpd00644_e,cpd00644
cpd00646_c,cpd00646
cpd00650_c,cpd00650
cpd00654_c,cpd00654
cpd00654_e,cpd00654
cpd00655_c,cpd00655
cpd00658_c,cpd00658
cpd00659_c,cpd00659
cpd00668_c,cpd00668
cpd00683_c,cpd00683
cpd00689_c,cpd00689
cpd00699_c,cpd00699
cpd00712_c,cpd00712
cpd00722_c,cpd00722
cpd00727_c,cpd00727
cpd00730_c,cpd00730
cpd00731_c,cpd00731
cpd00738_c,cpd00738
cpd00742_c,cpd00742
cpd00755_c,cpd00755
cpd00760_c,cpd00760
cpd00763_c,cpd00763
cpd00764_c,cpd00764
cpd00773_c,cpd00773
cpd00774_c,cpd00774
cpd00782_c,cpd00782
cpd00790_c,cpd00790
cpd00791_c,cpd00791
cpd00793_c,cpd00793
cpd00793_e,cpd00793
cpd00797_c,cpd00797
cpd00797_e,cpd00797
cpd00800_c,cpd00800
cpd00802_c,cpd00802
cpd00807_c,cpd00807
cpd00809_c,cpd00809
cpd00810_c,cpd00810
cpd00817_c,cpd00817
cpd00822_c,cpd00822
cpd00830_c,cpd00830
cpd00834_c,cpd00834
cpd00836_c,cpd00836
cpd00837_c,cpd00837
cpd00840_c,cpd00840
cpd00842_c,cpd00842
cpd00843_c,cpd00843
cpd00851_c,cpd00851
cpd00858_c,cpd00858
cpd00859_c,cpd00859
cpd00860_c,cpd00860
cpd00861_c,cpd00861
cpd00863_c,cpd00863
cpd00867_c,cpd00867
cpd00868_c,cpd00868
cpd00873_c,cpd00873
cpd00875_c,cpd00875
cpd00876_c,cpd00876
cpd00890_c,cpd00890
cpd00905_c,cpd00905
cpd00906_c,cpd00906
cpd00908_c,cpd00908
cpd00911_c,cpd00911
cpd00918_c,cpd00918
cpd00922_c,cpd00922
cpd00924_c,cpd00924
cpd00930_c,cpd00930
cpd00931_c,cpd00931
cpd00932_c,cpd00932
cpd00939_c,cpd00939
cpd00954_c,cpd00954
cpd00956_c,cpd00956
cpd00957_c,cpd00957
cpd00971_c,cpd00971
cpd00971_e,cpd00971
cpd00977_c,cpd00977
cpd00978_c,cpd00978
cpd00982_c,cpd00982
cpd01012_c,cpd01012
cpd01012_e,cpd01012
cpd01017_c,cpd01017
cpd01080_c,cpd01080
cpd01080_e,cpd01080
cpd01092_c,cpd01092
cpd01101_c,cpd01101
cpd01155_c,cpd01155
cpd01157_c,cpd01157
cpd01211_c,cpd01211
cpd01217_c,cpd01217
cpd01260_c,cpd01260
cpd01262_c,cpd01262
cpd01262_e,cpd01262
cpd01298_c,cpd01298
cpd01311_c,cpd01311
cpd01324_c,cpd01324
cpd01326_c,cpd01326
cpd01329_c,cpd01329
cpd01329_e,cpd01329
cpd01335_c,cpd01335
cpd01401_c,cpd01401
cpd01441_c,cpd01441
cpd01476_c,cpd01476
cpd01501_c,cpd01501
cpd01507_c,cpd01507
cpd01567_c,cpd01567
cpd01620_c,cpd01620
cpd01646_c,cpd01646
cpd01651_c,cpd01651
cpd01695_c,cpd01695
cpd01710_c,cpd01710
cpd01716_c,cpd01716
cpd01741_c,cpd01741
cpd01772_c,cpd01772
cpd01775_c,cpd01775
cpd01777_c,cpd01777
cpd01831_c,cpd01831
cpd01882_c,cpd01882
cpd01914_c,cpd01914
cpd01914_e,cpd01914
cpd01919_c,cpd01919
cpd01960_c,cpd01960
cpd01966_c,cpd01966
cpd01974_c,cpd01974
cpd01977_c,cpd01977
cpd01981_c,cpd01981
cpd01982_c,cpd01982
cpd01997_c,cpd01997
cpd02016_c,cpd02016
cpd02021_c,cpd02021
cpd02030_c,cpd02030
cpd02039_c,cpd02039
cpd02060_c,cpd02060
cpd02068_c,cpd02068
cpd02069_c,cpd02069
cpd02074_c,cpd02074
cpd02083_c,cpd02083
cpd02090_c,cpd02090
cpd02097_c,cpd02097
cpd02103_c,cpd02103
cpd02120_c,cpd02120
cpd02124_c,cpd02124
cpd02125_c,cpd02125
cpd02135_c,cpd02135
cpd02140_c,cpd02140
cpd02147_c,cpd02147
cpd02147_e,cpd02147
cpd02152_c,cpd02152
cpd02160_c,cpd02160
cpd02182_c,cpd02182
cpd02187_c,cpd02187
cpd02197_c,cpd02197
cpd02201_c,cpd02201
cpd02210_c,cpd02210
cpd02211_c,cpd02211
cpd02227_c,cpd02227
cpd02229_c,cpd02229
cpd02230_c,cpd02230
cpd02234_c,cpd02234
cpd02258_c,cpd02258
cpd02295_c,cpd02295
cpd02311_c,cpd02311
cpd02333_c,cpd02333
cpd02345_c,cpd02345
cpd02375_c,cpd02375
cpd02394_c,cpd02394
cpd02414_c,cpd02414
cpd02431_c,cpd02431
cpd02465_c,cpd02465
cpd02484_c,cpd02484
cpd02498_c,cpd02498
cpd02507_c,cpd02507
cpd02522_c,cpd02522
cpd02535_c,cpd02535
cpd02546_c,cpd02546
cpd02547_c,cpd02547
cpd02552_c,cpd02552
cpd02555_c,cpd02555
cpd02557_c,cpd02557
cpd02566_c,cpd02566
cpd02569_c,cpd02569
cpd02572_c,cpd02572
cpd02590_c,cpd02590
cpd02591_c,cpd02591
cpd02597_c,cpd02597
cpd02605_c,cpd02605
cpd02611_c,cpd02611
cpd02612_c,cpd02612
